No,Tanggal Iklan,URL,Harga_Juta,Kota,Luas Tanah,Luas Bangunan,Kamar Tidur,Kamar Mandi,Kamar Tidur Pembantu,Kamar Mandi Pembantu,Carport,Garasi,Listrik,Surat,Judul,Deskripsi
60,04-02-2021,https://www.rumah123.com/properti/semarang/hos8115052/,2500,Semarang,170,160,4,3,0,0,2,0,3300,SHM,RUMAH BUKIT SARI GOMBEL NGESREP BANYUMANIK TEMBALANG SEMARANG | 3,"PERUMAHAN BUKIT SARI
  JALAN BUKIT PUNCAK (DEPAN KANTOR INDOSIAR)
  EXCLUSIVE ONLY 2 UNIT
  SPESIAL PRICE KHUSUS CASH 6 BULAN
  1. TYPE 160 / 170 M2 2 LANTAI HARGA 2.575 M
  
  MASIH ADA CASBACK 35JT
  
  SPESIFIKASI
  4 KAMAR TIDUR
  3 KAMAR MANDI
  RUANG TAMU
  RUANG KELUARGA
  RUANG SANTAI
  BALCON ATAS
  DAPUR + TEMPAT MAKAN
  TEMPAT CUCI
  TERAS DEPAN
  CARPORT 2 MOBIL
  LISTRIK 3300 WATT
  
  BONUS KONSUMEN
  1. BIAYA BALIK NAMA
  2. BIAYA NOTARIS
  3. TAMAN CANTIK
  4. TANDON ATAS 1000 LT
  5. PAKET FURNITURE
  5. AC SETIAP KAMAR
  6. MOTOR NEW N MAX
  7. TEMBOK KELILING 1,5M2
  
  *SERTIPIKAT HM
  *IMB PER UNIT RUMAH
  
  EXLUSIVE 2 UNIT ONLY"
61,04-02-2021,"Rumah dijual 1 lantai, 3 kamar hos8115050 | rumah123.com",975,Semarang,205,190,3,3,0,0,2,0,2200,SHM,RUMAH TENGAH KOTA CINDE JOMBLANG DPN PASAR MRICAN CANDISARI SEMARANG | 3,"RUMAH SIAP HUNI DI CINDE TIMUR JOMBLANG DEPAN PASAR MRICAN
  RUMAH BESAR LOKASI TENGAH KOTA SEMARANG DEKAT KEMANA MANA
  
  LUAS TANAH 205
  FULL BANGUNAN
  KMR TIDUR 3
  KMR MANDI 3
  GUDANG 1
  GARASI 2 MOBIL
  
  BANGUNAN BAGUS
  LOKASI STRATEGIES:
  DPN PASAR MRICAN
  DKT JL RAYA TENTARA PELAJAR
  DKT JAVA MALL
  BEBAS BANJIR
  LEGALITAS
  SHM
  IMB
  PBB LENGKAP
  
  FREE
  -TANDON AIR ATAS BAWAH"
62,04-01-2021,https://www.rumah123.com/properti/semarang/hos8111702/,2800,Semarang,258,160,7,2,0,0,1,0,1300,SHM,RUMAH TENGAH KOTA SIAP HUNI DI HALMAHERA SEMARANG TENGAH,"RUMAH TENGAH KOTA SIAP HUNI DIJUAL DI HALMAHERA SEMARANG TENGAH, LT/LB. 258/160 M2, SHM, KT 7, KM 2, HADAP TIMUR, LISTRIK 1300W, 1 LANTAI, PAM, CARPORT, AKSES JALAN MUDAH DAN KEMANA MANA DEKAT , RUMAH LAMA BUTUH RENOVASI, BEBAS BANJIR, LOKASI STRATEGIS DI TENGAH KOTA, DEKAT PUSKESMAS HALMAHERA, DEKAT DR CIPTO, DEKAT KARTINI, DEKAT MAJAPAHIT, DEKAT BARITO, DEKAT SIDODADI, DEKAT KAMPUS UPGRIS, DEKAT KAMPUNG KALI, JALAN LEBAR BISA PAPASAN 2 MOBIL, DEKAT SEKOLAH SD COR JESU, 8 MENIT KE SIMPANG LIMA, 5 MENIT KE SMP MARIA MEDIATRIX DAN SMU SEDES SAPIENTIAE, 5 MENIT KE SEKOLAH YSKI, 5 MENIT KE SEKOLAH DIAN ASIH, 7 MENIT KE SEKOLAH XAVERIUS"
63,03-31-2021,https://www.rumah123.com/properti/semarang/hos8105635/,7900,Semarang,450,750,4,4,2,1,0,0,2200,SHM,RUMAH MEWAH DI GRAHA PADMA SEMARANG,"BANGUNAN TAHUN 2014~2016 DIBANGUN DGN PENGAWASAN SENDIRI
  BAGUS KOKOH BUKAN SISTEM BORONGAN.
  
  LUAS TANAH 450M (15X30)
  LUAS BANGUNAN 750M
  KAMAR TIDUR + KAMAR MANDI DALAM: 4
  KAMAR MANDI LUAR : 1
  KAMAR TIDUR PEMBANTU : 2
  KAMAR MANDI PEMBANTU : 1
  GUDANG: 1
  GARASI LUAS : 6X6
  DAPUR BASAH LUAS 4X4
  DAPUR KERING
  TANDON AIR LUAS ISI 6M
  KOLAM IKAN KOI LUAS 1.5 MX 9 M DALAM 1.8M
  HADAP BARAT"
64,03-31-2021,Rumah dijual 5 kamar hos8104692 | rumah123.com,3000,Semarang,414,275,5,2,0,0,0,0,2200,SHM,RUMAH DI REJOSARI BAGUS TENGAN KOTA 3 M,"LUAS TANAH 414M
  LUAS BANGUNAN 275M
  5 KAMAR TIDUR
  2 KAMAR MANDI
  HADAP BARAT
  LISTRIK 2200 WATT
  AIR PDAM
  ADA GUDANG KECIL DAN MUSHOLA
  
  KEUNGGULAN :
  5 MENIT KE SIMPANG LIMA
  1 MENIT KE JL DR.CIPTO
  DEKAT PUSAT PERBELANJAAN
  DEKAT SPBU
  BEBAS BANJIR"
65,03-31-2021,"Rumah dijual 1 lantai, 4 kamar hos8104648 | rumah123.com",8000,Semarang,690,253,4,2,1,1,1,1,2200,SHM,"RUMAH STRATEGIS DI ABDUL RAHMAN SALEH, SEMARANG BARAT, SEMARANG","KAMAR TIDUR 4+1
  KAMAR MANDI 2+1
  1 LANTAI
  HADAP TIMUR
  LISTRIK 2.200 WATT
  PDAM
  TELP 1
  TERAS
  GUDANG
  GARASI
  CARPORT
  RUMAH LOKASI STRATEGIS DEKAT DENGAN BANDARA, STASIUN, PELABUHAN.
  COCOK UNTUK HUNIAN, RESTO, KANTOR, ANGKRINGAN, PERKANTORAN, RS COLUMBIA.
  (DI)"
66,03-31-2021,Rumah dijual 6 kamar hos8104325 | rumah123.com,5500,Semarang,292,375,6,3,0,0,2,2,0,SHM,"RUMAH BESAR BAGUS DI KRAKATAU TENGAH KOTA 5,5 M","LUAS TANAH 292M
  LUAS BANGUNAN 375M
  KAMAR TIDUR 4+2
  KAMAR MANDI 2+1
  GARASI MUAT 2 MOBIL
  CARPORT MUAT 2 MOBIL
  SERTIFIKAT HAK MILIK"
67,03-31-2021,"Rumah dijual 2 lantai, 1 kamar hos8104209 | rumah123.com",1400,Semarang,81,70,1,2,0,0,0,0,4400,SHM,"RUMAH DI AKIHIRO, CITRASUN GARDEN ,SEMARANG ( RA 2453 )","RUMAH BAGUS SIAP HUNI
  HADAP UTARA
  RUMAH 2 LANTAI
  ADA AC , 4400W, ARTETIS
  SHM
  FULL FURNISHED"
68,03-31-2021,Rumah dijual 5 kamar hos8104056 | rumah123.com,2000,Semarang,200,167,5,5,0,0,0,1,3500,SHM,"TURUN HARGA, RUMAH DI JALAN UTAMA, BAGUS, ELITE, SIAP HUNI DI TAMANSARI MAJAPAHIT SEMARANG TIMUR","RUMAH DIJUAL SEMARANG ( NEGO SAMPAI JADI ) LUAS TANAH : 200 M2 LUAS BANGUNAN : 167 M2 KAMAR TIDUR : 5 ( 4 KMR DI LENGKAPI AC ) KAMAR MANDI : 5 ( KMR MANDI UTAMA ADA BATHTAB) & ( 4 KMR MANDI ADA WATER HEATER) GUDANG : 1 R. JEMUR PAKAIAN: 1 RUANG FITNESS : 1 RUANG MAKAN : 1 RUANG TAMU : 1 GARASI DALAM : 1 MOBIL TERAS : BISA 2 MOBIL. BISA 5 MOTOR. KOLAM IKAN : ADA 2 DI RUANG MAKAN : 1 DI TERAS : 1 LISTRIK : 3500 W TANDON AIR : ADA 3 LANTAI : GRANIT PINTU & KUSEN : KAYU JATI SERTIFIKAT : SHM. BONUS : 4 UNIT AC & SEMUA GORDEN RUMAH MENGHADAP KE TIMUR. FASILITAS COMPLEX: ADA KOLAM RENANG & FITNESS CENTER. FASILITAS UMUM : GELANGGANG OLAH RAGA MANUNGGAL JATI, MASJID, GEREJA, ALFAMART & PETRA SCHOOL."
69,03-31-2021,"Rumah dijual 2 lantai, 2 kamar hos8102605 | rumah123.com",850,Semarang,148,110,2,1,1,0,0,0,2200,SHM,"TLOGOSARI, SEMARANG TIMUR","RUMAH SEDERHANA DENGAN LD 8 M, BERADA DI TLOGOTIMUN PEDURUNGAN HANYA SEKITAR 150 M DARI ARTERI SOEKARNO HATTA DEKAT TLOGOSARI,AKSES CEPAT KE SUPRIYADI MAUPUN PEDURUNGAN,HADAP SELATAN"
